Date,Hotel Name,Source,Language,Score,URL,Author,Title,Text,Translation,Translated Review,Sentiment,Aspect Sentiments
2023-03-14,Becamex New City Hotel,Ctrip,English,100,https://hotels.ctrip.com/international/7359980.html,_TXTHjk515is****,,"Good hotel and nice place
Food is good test
Clean room
Lovely people","Good hotel and nice place
Food is good test
Clean room
Lovely people","Good hotel and nice place
Food has a good taste
Clean room
Lovely people.",Positive,"{
  ""aspects"": [
    {
      ""aspect"": ""hotel"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""place"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""food"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""room"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""people"",
      ""sentiment"": ""positive""
    }
  ]
}"
2023-03-13,Becamex New City Hotel,Google,Vietnamese,100,https://search.google.com/local/reviews?placeid=ChIJLxYO0NbPdDERH1Md329lwRo&authuser=0&hl=en,Thien Dam Van,,Đồ uống rất tuyệt vời,Very good drinks,The drinks are wonderful.,Positive,"{
  ""aspects"": [
    {
      ""aspect"": ""drinks"",
      ""sentiment"": ""positive""
    }
  ]
}"
2023-03-13,Becamex New City Hotel,Google,Chinese,80,https://search.google.com/local/reviews?placeid=ChIJLxYO0NbPdDERH1Md329lwRo&authuser=0&hl=en,楊守安,,住一個禮拜今天剛住，網路有時收不到。,"I just moved in today after staying for a week, and sometimes I can't receive it on the Internet.","I just moved in today for a week, but sometimes the internet doesn't connect.",The overall sentiment of the given text is 'negative'.,"{
  ""aspects"": [
    {
      ""aspect"": ""move-in experience"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""internet connectivity"",
      ""sentiment"": ""negative""
    }
  ]
}"
2023-03-12,Becamex New City Hotel,Google,Vietnamese,80,https://search.google.com/local/reviews?placeid=ChIJLxYO0NbPdDERH1Md329lwRo&authuser=0&hl=en,HUY DUONG TRAN,,Nơi chạy giải Halfmarathon Bình Dương,The place to run the Binh Duong Halfmarathon,The location of the Half Marathon in Binh Duong.,The sentiment of the given text is 'neutral'.,"{
  ""aspects"": [
    {
      ""aspect"": ""location of the Half Marathon"",
      ""sentiment"": ""neutral""
    },
    {
      ""aspect"": ""Binh Duong"",
      ""sentiment"": ""neutral""
    }
  ]
}"
2023-03-10,Becamex New City Hotel,Agoda,Japanese,100,https://www.agoda.com/becamex-hotel-new-city/hotel/binh-duong-vn.html,WANG,非常Good,出行方便，环境好，不知道住了多少次了，非常好,It's convenient to travel and the environment is good. I don't know how many times I've stayed here. It's very good,"Convenient transportation, good environment, I don't know how many times I've stayed here, it's very good.",The overall sentiment of the given text is 'positive'.,"```json
{
  ""aspects"": [
    {
      ""aspect"": ""transportation"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""environment"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""overall experience"",
      ""sentiment"": ""positive""
    }
  ]
}
```"
2023-03-04,Becamex New City Hotel,Agoda,English,80,https://www.agoda.com/becamex-hotel-new-city/hotel/binh-duong-vn.html,Mengchun,CP 高,樓下 family mart 方便,The Family Mart downstair is convenient,The Family Mart downstairs is convenient.,The overall sentiment of the text is 'positive'.,"{
  ""aspects"": [
    {
      ""aspect"": ""Family Mart"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""convenience"",
      ""sentiment"": ""positive""
    }
  ]
}"
2023-03-04,Becamex New City Hotel,Agoda,Chinese,76,https://www.agoda.com/becamex-hotel-new-city/hotel/binh-duong-vn.html,Mengchun,性價比高,含有免痔馬桶 ，早餐多元,"Contains a hemorrhoid-free toilet, and the breakfast is diverse",Features a bidet toilet and a diverse breakfast.,The overall sentiment of the text is 'positive'.,"{
  ""aspects"": [
    {
      ""feature"": ""bidet toilet"",
      ""sentiment"": ""positive""
    },
    {
      ""feature"": ""diverse breakfast"",
      ""sentiment"": ""positive""
    }
  ]
}"
2023-02-28,Becamex New City Hotel,Ctrip,Chinese,40,https://hotels.ctrip.com/international/7359980.html,E0169****,,房間越來越舊。低樓層濕氣重,The rooms are getting older. Humidity on lower floors,The room is getting older. The lower floors are very damp.,The overall sentiment of the given text is 'negative'.,"{
  ""aspects"": [
    {
      ""aspect"": ""Room Age"",
      ""sentiment"": ""negative""
    },
    {
      ""aspect"": ""Lower Floors Dampness"",
      ""sentiment"": ""negative""
    }
  ]
}"
2023-02-20,Becamex New City Hotel,Google,Chinese,100,https://search.google.com/local/reviews?placeid=ChIJLxYO0NbPdDERH1Md329lwRo&authuser=0&hl=en,Shelly Mu,,房間很大，服務親切早餐好吃 但是枕頭太軟了 雖然有四顆枕頭但是沒一顆好躺😂😂 整體而言很推薦,"The room is big, the service is friendly, the breakfast is delicious, but the pillows are too soft. Although there are four pillows, none of them are comfortable to lie on. Overall, it is recommended","The room is very spacious, the service is friendly, and the breakfast is delicious. However, the pillows are too soft. Even though there are four pillows, none of them are comfortable to lie on. 😂😂 Overall, I highly recommend it.",The overall sentiment of the text is 'positive'.,"{
  ""aspects"": [
    {
      ""aspect"": ""room size"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""service"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""breakfast"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""pillows"",
      ""sentiment"": ""negative""
    },
    {
      ""aspect"": ""overall recommendation"",
      ""sentiment"": ""positive""
    }
  ]
}"
2023-02-20,Becamex New City Hotel,Agoda,Japanese,76,https://www.agoda.com/becamex-hotel-new-city/hotel/binh-duong-vn.html,KAZUTAKA,これからに期待,"新都心に立つホテルで、部屋は広く、設備も整っているが、周りに商業施設は少ない。
これから発展していく都市と何年も前から言われているが、コロナの影響でなかなか開発が進んでいない様子。
それでもこれからの発展には期待したい。","This hotel is located in the new city center, and the rooms are spacious and well-equipped, but there are few commercial facilities around.
It has been said for many years that it is a city that will develop from now on, but it seems that development has not progressed due to the influence of Covid-19.
Still, I have high hopes for future developments. ","The hotel standing in the new urban center has spacious rooms and well-equipped facilities, but there are few commercial establishments around. It has been said for years that this city is going to develop, but due to the impact of COVID-19, development seems to be progressing slowly. Nevertheless, I hope for future growth.","The overall sentiment of the text is 'neutral'. While it expresses some positive attributes about the hotel, it also mentions concerns about the lack of development and the slow progress due to COVID-19, balanced by a hope for future growth.","{
  ""aspects"": [
    {
      ""aspect"": ""hotel location"",
      ""sentiment"": ""neutral""
    },
    {
      ""aspect"": ""spacious rooms"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""well-equipped facilities"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""commercial establishments"",
      ""sentiment"": ""negative""
    },
    {
      ""aspect"": ""city development"",
      ""sentiment"": ""negative""
    },
    {
      ""aspect"": ""future growth"",
      ""sentiment"": ""positive""
    }
  ]
}"
2023-02-20,Becamex New City Hotel,Agoda,,100,https://www.agoda.com/becamex-hotel-new-city/hotel/binh-duong-vn.html,mo,Exceptional,飯店位置極佳,Hotel location is excellent,The hotel location is excellent.,Positive,"{
  ""aspects"": [
    {
      ""aspect"": ""hotel location"",
      ""sentiment"": ""positive""
    }
  ]
}"
2023-02-20,Becamex New City Hotel,Agoda,English,100,https://www.agoda.com/becamex-hotel-new-city/hotel/binh-duong-vn.html,YiTe,Nice hotel,"I booked the suite, everything was fine except one thing .... don't know how to adjust the temperature of the AC .....","I booked the suite, everything was fine except one thing .... don't know how to adjust the temperature of the AC .....","I booked the suite, everything was fine except for one thing... I don't know how to adjust the temperature of the AC...",The overall sentiment of the text is 'neutral'.,"{
  ""aspects"": [
    {
      ""name"": ""suite booking"",
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""temperature adjustment of AC"",
      ""sentiment"": ""negative""
    }
  ]
}"
2023-02-20,Becamex New City Hotel,Agoda,Chinese,100,https://www.agoda.com/becamex-hotel-new-city/hotel/binh-duong-vn.html,mo,Exceptional,早餐 好好吃！,Breakfast is delicious!,Breakfast is delicious!,Positive,"```json
{
  ""aspects"": [
    {
      ""aspect"": ""breakfast"",
      ""sentiment"": ""positive""
    }
  ]
}
```"
2023-02-12,Becamex New City Hotel,Google,Vietnamese,100,https://search.google.com/local/reviews?placeid=ChIJLxYO0NbPdDERH1Md329lwRo&authuser=0&hl=en,Oanh Nguyen,,Vị trí đẹp ....Vip nhé,Nice location....Vip,"Beautiful location... VIP, okay?",The overall sentiment of the text is 'positive'.,"{
  ""aspects"": [
    {
      ""aspect"": ""location"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""VIP experience"",
      ""sentiment"": ""neutral""
    }
  ]
}"
2023-02-07,Becamex New City Hotel,Google,Korean,100,https://search.google.com/local/reviews?placeid=ChIJLxYO0NbPdDERH1Md329lwRo&authuser=0&hl=en,김희은,,베트남 럭셔리 호텔~ 방도 쾌적하고 조식도 맛있고 로비도 근사하다. 일정때문에 짧게 머물러서 아쉽다,"Luxury Hotel in Vietnam~ The room is pleasant, the breakfast is delicious, and the lobby is nice. It's a pity that I stayed short due to my schedule.","Vietnam luxury hotel~ The room is comfortable, the breakfast is delicious, and the lobby is impressive. It's a shame that I had to stay for a short time due to my schedule.",The overall sentiment of the text is 'positive'.,"```json
{
  ""aspects"": [
    {
      ""aspect"": ""room"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""breakfast"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""lobby"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""stay duration"",
      ""sentiment"": ""negative""
    }
  ]
}
```"
2023-02-07,Becamex New City Hotel,Ctrip,Chinese,100,https://hotels.ctrip.com/international/7359980.html,Lydia qi,,值得续住 环境卫生 早餐都不错,"Worth continuing to stay, sanitation and breakfast are good","It's worth staying again. The environment is clean, and the breakfast is good.",Positive,"```json
{
  ""aspects"": [
    {
      ""aspect"": ""staying again"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""environment"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""breakfast"",
      ""sentiment"": ""positive""
    }
  ]
}
```"
2023-02-07,Becamex New City Hotel,Ctrip,Chinese,100,https://hotels.ctrip.com/international/7359980.html,M510014****,,有个重要的事情要说下，这酒店的名字应该叫平阳新城贝卡梅克斯酒店。特别从机场打出租车到酒店的时候，切记不要讲到土龙木，司机会把你送到土龙木的贝卡梅克斯酒店。酒店住的还舒适,"There is an important thing to say, the name of this hotel should be Becamex Hotel in Binh Duong New City. Especially when taking a taxi from the airport to the hotel, remember not to mention Thu Dau Mot, the driver will send you to the Bekamex Hotel in Thu Dau Mot. The hotel is comfortable","There is an important thing to mention: the name of this hotel should be called Pingyang New Town Becamex Hotel. When taking a taxi from the airport to the hotel, make sure not to mention ""Tu Long Mu,"" or the driver will take you to the Becamex Hotel in Tu Long Mu. The hotel is comfortable to stay in.",The overall sentiment of the text is 'positive'.,"```json
{
  ""aspects"": [
    {
      ""aspect"": ""hotel name"",
      ""sentiment"": ""neutral""
    },
    {
      ""aspect"": ""taxi directions"",
      ""sentiment"": ""neutral""
    },
    {
      ""aspect"": ""hotel comfort"",
      ""sentiment"": ""positive""
    }
  ]
}
```"
2023-02-02,Becamex New City Hotel,Ctrip,English,100,https://hotels.ctrip.com/international/7359980.html,撕不坏,,"Continental breakfast, nice service","Continental breakfast, nice service","Continental breakfast, nice service.",The overall sentiment of the given text is 'positive'.,"{
  ""aspects"": [
    {
      ""aspect"": ""breakfast"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""service"",
      ""sentiment"": ""positive""
    }
  ]
}"
2023-02-02,Becamex New City Hotel,Agoda,Vietnamese,40,https://www.agoda.com/becamex-hotel-new-city/hotel/binh-duong-vn.html,phạm,Tệ,"Khách sạn quá nhiều quy định cho khách, k nên ở","The hotel has too many rules for guests, should not stay","The hotel has too many rules for guests, it's not worth staying.",The overall sentiment of the given text is 'negative'.,"{
  ""aspects"": [
    {
      ""aspect"": ""hotel rules"",
      ""sentiment"": ""negative""
    },
    {
      ""aspect"": ""worth staying"",
      ""sentiment"": ""negative""
    }
  ]
}"
2023-01-31,Becamex New City Hotel,Ctrip,Chinese,80,https://hotels.ctrip.com/international/7359980.html,心蓝1129,,开发区的一个酒店 周边都是工厂 适合出差 旁边中国餐厅挺多,"A hotel in the development zone is surrounded by factories, suitable for business trips, and there are many Chinese restaurants next to it","A hotel in the development zone, surrounded by factories, suitable for business trips. There are quite a few Chinese restaurants nearby.","The overall sentiment of the text is 'neutral'. While it provides information about a hotel and nearby amenities, it does not express a strong positive or negative feeling.","{
  ""aspects"": [
    {
      ""aspect"": ""hotel location"",
      ""sentiment"": ""negative""
    },
    {
      ""aspect"": ""suitability for business trips"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""nearby restaurants"",
      ""sentiment"": ""positive""
    }
  ]
}"
2023-01-26,Becamex New City Hotel,Ctrip,Chinese,100,https://hotels.ctrip.com/international/7359980.html,Vincz,,早餐很好，游泳池很好，,"Good breakfast, nice swimming pool,","The breakfast is great, and the swimming pool is also very nice.",Positive,"{
  ""aspects"": [
    {
      ""aspect"": ""breakfast"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""swimming pool"",
      ""sentiment"": ""positive""
    }
  ]
}"
2023-01-26,Becamex New City Hotel,Google,English,100,https://search.google.com/local/reviews?placeid=ChIJLxYO0NbPdDERH1Md329lwRo&authuser=0&hl=en,Nguyễn Phương Nguyên,,I only had a coffee downstairs. Good.,I only had a coffee downstairs. Good.,I only had a coffee downstairs. Good.,The overall sentiment of the text is 'positive'.,"```json
{
  ""aspects"": [
    {
      ""aspect"": ""coffee"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""downstairs"",
      ""sentiment"": ""neutral""
    }
  ]
}
```"
2023-01-18,Becamex New City Hotel,Ctrip,Chinese,20,https://hotels.ctrip.com/international/7359980.html,201122****,,特别特别不好,very bad,Very very bad.,Negative,"```json
{
  ""aspects"": [
    {
      ""aspect"": ""Overall Experience"",
      ""sentiment"": ""negative""
    }
  ]
}
```"
2023-01-17,Becamex New City Hotel,Booking.com,Chinese,90,https://www.booking.com/hotel/vn/becamex-new-city.en.html?tab=4&lang=en-us,Hsirung,Wonderful,"溫泉非常棒，正宗的硫磺泉，早晚餐都很不錯.
離纜車站有點距離","The hot spring is very good, authentic sulfur spring, breakfast and dinner are very good.
A bit far from the cable car station","The hot springs are fantastic, a genuine sulfur spring, and both breakfast and dinner are quite good. It's a bit of a distance from the cable car station.",The overall sentiment of the text is 'positive'.,"{
  ""aspects"": [
    {
      ""aspect"": ""hot springs"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""sulfur spring"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""breakfast"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""dinner"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""distance from the cable car station"",
      ""sentiment"": ""negative""
    }
  ]
}"
2023-01-14,Becamex New City Hotel,Booking.com,English,70,https://www.booking.com/hotel/vn/becamex-new-city.en.html?tab=4&lang=en-us,Bryce,nice to stay here if working in the area,"good appartement size with balcony.
busy breakfast","good appartement size with balcony.
busy breakfast",Good apartment size with balcony. Busy breakfast.,The overall sentiment of the given text is 'neutral'.,"{
  ""aspects"": [
    {
      ""aspect"": ""apartment size"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""balcony"",
      ""sentiment"": ""positive""
    },
    {
      ""aspect"": ""breakfast"",
      ""sentiment"": ""neutral""
    }
  ]
}"
2023-01-08,Becamex New City Hotel,Ctrip,Chinese,100,https://hotels.ctrip.com/international/7359980.html,_yt13448****,,早餐好，环境佳,Good breakfast and nice environment,"Breakfast is good, and the environment is great.",Positive,"{
  ""aspects"": {
    ""Breakfast"": ""positive"",
    ""Environment"": ""positive""
  }
}"
